CdS 30sec ODE2 Toluene1 ex420,,CdS 30sec ODE2 Toluene1 em420,,CdS 30sec ODE2 Toluene1 ex340,,CdS 30sec ODE2 Toluene1 em415,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
538.9500122,12.9351902,329.0599976,270.7786255,458.9299927,186.5551147,309.0700073,207.6932678
540,12.13704872,330,272.277771,460,184.350708,310,213.4286194
541.0200195,11.28025246,331.0700073,276.5762634,461.0599976,180.746582,311.0700073,217.0975037
542.0499878,10.36639977,332,284.6046753,461.9599915,177.8277283,312,222.181488
542.9400024,10.29130363,333.0700073,283.3214111,463.0299988,173.4598999,313.0700073,223.512207
543.9699707,9.209848404,334,283.5144653,463.9299927,170.2867126,314,226.7821045
545,8.745069504,335.0700073,284.5123596,465,168.7997437,315.0700073,231.7459106
546.0200195,7.310358047,336,288.2045288,466.0599976,168.2592163,316,237.7777405
547.0499878,7.069326401,337.0700073,286.9979248,466.9599915,163.5286865,317.0700073,244.0949707
547.9400024,6.213178635,338,287.3739014,468.0299988,157.9982605,318,243.142395
548.9699707,5.693868637,339.0700073,292.6520691,468.9299927,157.1039734,319.0700073,251.994873
550,4.974836349,340,291.5858459,470,152.603363,320,258.2296753
551.039978,4.576854706,341.0700073,288.3664856,471.0599976,148.3950195,320.9299927,261.7310181
551.9400024,3.955474854,342,285.6806335,471.9599915,149.539032,322.0299988,271.1291199
552.9799805,3.606813431,343.0700073,287.8042603,473.0299988,141.8821411,322.9599915,271.8754272
554.0200195,2.360080719,344,284.7778015,473.9299927,141.276825,324.0599976,281.030426
555.0700073,2.286691666,345.0700073,285.8710022,475,137.815094,325,284.5002747
555.9699707,1.370519638,346,286.9093323,476.0599976,134.3432007,325.9299927,287.8269043
557.0100098,0.975618362,347.0700073,277.0718994,476.9599915,131.8050842,327.0299988,294.4081726
558.0499878,0.58080864,348,271.8814087,478.0299988,132.4614258,327.9599915,292.8751831
558.9500122,0.00365448,349.0700073,273.5914001,478.9299927,128.210907,329.0599976,295.901062
560,-0.503973007,350,267.5202637,480,124.6451645,330,296.1178284
561.039978,-1.411071777,351.0700073,259.0059509,481.0599976,121.596199,331.0700073,303.3082581
561.9400024,-2.054347992,352,258.9292908,481.9599915,119.5703049,332,305.0629272
562.9799805,-1.997034073,353.0700073,249.207428,483.0299988,117.8080826,333.0700073,303.7821045
564.0200195,-2.806676865,354,245.6619263,483.9299927,114.3981857,334,313.949646
565.0700073,-3.783287048,355.0700073,237.8064575,485,113.2833328,335.0700073,310.9284363
565.9699707,-3.766056061,356,236.927887,486.0599976,111.2038498,336,312.4223022
567.0100098,-4.570432663,357.0700073,224.766571,486.9599915,104.2615128,337.0700073,312.8710327
568.0499878,-4.957775116,358,220.9475098,488.0299988,103.7672348,338,313.6459045
568.9500122,-5.552326202,359.0700073,216.8651428,488.9299927,101.0931625,339.0700073,309.8283081
570,-5.867296219,360,211.2197266,490,96.03036499,340,308.2203064
571.0200195,-6.120359421,361.0700073,205.7018433,491.0400085,94.65085602,341.0700073,308.726532
572.0499878,-6.635875702,362,201.7643738,491.9400024,94.4863205,342,303.1732178
572.9400024,-7.446382523,363.0700073,195.6559448,492.980011,91.21881866,343.0700073,306.0656738
573.9699707,-7.236856461,364,189.8109741,494.019989,86.7516861,344,306.6924744
575,-8.022947311,365.0700073,182.4140015,495.0700073,86.9311142,345.0700073,303.1784363
576.0200195,-8.389514923,366,177.4075012,495.9700012,83.9480896,346,296.9643555
577.0499878,-8.797952652,367.0700073,170.2600098,497.0100098,81.70454407,347.0700073,291.7843323
577.9400024,-8.969268799,368,161.8038025,498.0499878,80.56507111,348,288.9755249
578.9699707,-9.460510254,369.0700073,154.776062,498.9500122,78.09701538,349.0700073,281.6936646
580,-9.833215714,370,156.0831909,500,77.282547,350,277.6053467
581.0200195,-10.35225296,371.0700073,148.2258301,501.0400085,75.34998322,351.0700073,274.2562256
582.0499878,-10.91341972,372,143.6576233,501.9400024,72.30725098,352,266.6526489
582.9400024,-10.66850662,373.0700073,136.9062195,502.980011,70.69717407,353.0700073,259.5756226
583.9699707,-11.63815212,374,131.2250671,504.019989,67.2336731,354,253.3763123
585,-11.93422699,375.0700073,120.9054031,505.0700073,67.17017365,355.0700073,246.077179
586.0200195,-11.95436287,376,118.1981125,505.9700012,63.23532867,356,242.6463623
587.0499878,-12.29656792,377.0700073,113.1190109,507.0100098,64.12181091,357.0700073,238.0823669
587.9400024,-12.98764896,378,107.6406784,508.0499878,62.31116486,358,226.7024536
588.9699707,-13.2293539,379.0700073,100.4629898,508.9500122,58.89530945,359.0700073,220.2762756
590,-13.42757797,380,94.99834442,510,58.11946106,360,217.8684387
591.0200195,-13.87628841,381.0700073,87.29959869,511.0599976,56.06235504,361.0700073,210.2077026
592.0499878,-13.85194588,382,83.17931366,511.9599915,54.10784912,362,208.1622009
592.9400024,-14.04481316,383.0700073,77.62194061,513.0300293,53.85926056,363.0700073,200.7971802
593.9699707,-14.61957741,384,72.27392578,513.9299927,53.65957642,364,197.0228577
595,-14.9342308,385.0700073,66.94578552,515,47.98339844,365.0700073,186.3134155
596.0200195,-14.97752476,386,62.92271423,516.0599976,50.39224243,366,179.4961853
597.0499878,-15.61036968,387.0700073,58.44319153,516.960022,47.22583008,367.0700073,174.0742493
597.9400024,-15.7337904,388,52.92584991,518.0300293,45.16018677,368,166.8647156
598.9699707,-15.96771049,389.0700073,48.19523621,518.9299927,43.61199951,369.0700073,159.3025818
600,-16.34370804,390,44.74777222,520,42.89769745,370,156.8187561
,,391.0599976,40.53353882,521.039978,39.64320374,371.0700073,145.9428406
,,391.9599915,36.82958984,521.9400024,40.28599548,372,144.8730469
,,393.0299988,34.42033386,522.9799805,39.17989349,373.0700073,133.7012024
,,393.9299927,30.6267395,524.0200195,36.99530029,374,126.0615463
,,395,25.92609406,525.0700073,33.89476013,375.0700073,118.5934525
,,396.0599976,23.94295502,525.9699707,34.78726959,376,115.2697525
,,396.9599915,20.53549957,527.0100098,33.11863708,377.0700073,108.8487015
,,398.0299988,16.62258148,528.0499878,33.26438141,378,104.4414291
,,398.9299927,13.26998901,528.9500122,31.78461838,379.0700073,98.50098419
,,400,8.904273987,530,28.87072754,380,93.75770569
,,,,531.039978,29.07590866,381.0700073,87.01963043
,,,,531.9400024,28.54821396,382,83.57801819
,,,,532.9799805,26.86548615,383.0700073,77.2914505
,,,,534.0200195,26.76708984,384,72.73635101
,,,,535.0700073,24.06253433,385.0700073,67.14035797
,,,,535.9699707,23.00140762,386,62.45462036
,,,,537.0100098,23.08324051,387.0700073,59.18045044
,,,,538.0499878,20.6989975,388,54.52006531
,,,,538.9500122,20.342659,389.0700073,50.05345154
,,,,540,20.54829788,390,46.13071442
,,,,541.0200195,17.96964645,391.0599976,41.89758301
,,,,542.0499878,16.58057785,391.9599915,39.06066895
,,,,542.9400024,17.75093842,393.0299988,36.24935913
,,,,543.9699707,15.0316925,393.9299927,32.33288956
,,,,545,15.69610596,395,29.87778473
,,,,546.0200195,14.01462936,396.0599976,25.94081879
,,,,547.0499878,13.31576538,396.9599915,22.32508469
,,,,547.9400024,12.26233292,398.0299988,20.04586411
,,,,548.9699707,11.67045975,398.9299927,17.55117798
,,,,550,10.3493309,400,13.51116943
,,,,551.039978,10.16258621,,
,,,,551.9400024,11.13141251,,
,,,,552.9799805,9.180950165,,
,,,,554.0200195,7.767520905,,
,,,,555.0700073,7.057636261,,
,,,,555.9699707,6.452018738,,
,,,,557.0100098,4.973865509,,
,,,,558.0499878,3.994827271,,
,,,,558.9500122,4.547229767,,
,,,,560,3.778209686,,
,,,,561.039978,2.800457001,,
,,,,561.9400024,2.417411804,,
,,,,562.9799805,2.29964447,,
,,,,564.0200195,-0.60881424,,
,,,,565.0700073,-0.050077438,,
,,,,565.9699707,-0.171880722,,
,,,,567.0100098,-1.560741425,,
,,,,568.0499878,-2.4348526,,
,,,,568.9500122,-1.604253769,,
,,,,570,-2.630094528,,
,,,,571.0200195,-3.474912643,,
,,,,572.0499878,-3.427967072,,
,,,,572.9400024,-4.375091553,,
,,,,573.9699707,-4.008865356,,
,,,,575,-4.189388275,,
,,,,576.0200195,-5.578418732,,
,,,,577.0499878,-6.254173279,,
,,,,577.9400024,-7.021665573,,
,,,,578.9699707,-6.78417778,,
,,,,580,-7.450992584,,
,,,,581.0200195,-7.791023254,,
,,,,582.0499878,-8.287242889,,
,,,,582.9400024,-9.375453949,,
