CdS 40sec ODE2 Toluene1 ex340,,CdS 40sec ODE2 Toluene1 em410,,CdS 40sec ODE2 Toluene1 ex336,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
Stop Wavelength Changed: 8/19/2022 12:46:37 PM, Old: 600.00, New: 395.00
Zero Mode Changed: 8/19/2022 12:46:42 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:46:42 PM, Old:Reading, New:ON
Emission Wavelength Changed: 8/19/2022 12:47:39 PM, Old: 405.00, New: 410.00
Zero Mode Changed: 8/19/2022 12:47:41 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:47:41 PM, Old:Reading, New:ON
Emission Wavelength Changed: 8/19/2022 12:48:27 PM, Old: 410.00, New: 420.00
Zero Mode Changed: 8/19/2022 12:48:29 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:48:29 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 12:55:27 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:55:27 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 12:55:42 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:55:43 PM, Old:Reading, New:ON
Excitation Wavelength Changed: 8/19/2022 1:04:36 PM, Old: 220.00, New: 200.00
Emission Wavelength Changed: 8/19/2022 1:04:36 PM, Old: 420.00, New: 342.00
Stop Wavelength Changed: 8/19/2022 1:04:36 PM, Old: 395.00, New: 332.00
Zero Mode Changed: 8/19/2022 1:04:39 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:04:40 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:12:22 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 1:12:22 PM, Old: 200.00, New: 420.00
Emission Wavelength Changed: 8/19/2022 1:12:22 PM, Old: 342.00, New: 430.00
Stop Wavelength Changed: 8/19/2022 1:12:22 PM, Old: 332.00, New: 600.00
Zero Mode Changed: 8/19/2022 1:12:28 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:12:29 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:14:41 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 1:14:41 PM, Old: 420.00, New: 220.00
Emission Wavelength Changed: 8/19/2022 1:14:41 PM, Old: 430.00, New: 420.00
Stop Wavelength Changed: 8/19/2022 1:14:41 PM, Old: 600.00, New: 400.00
Zero Mode Changed: 8/19/2022 1:14:46 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:14:46 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:16:06 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 1:16:06 PM, Old: 220.00, New: 340.00
Emission Wavelength Changed: 8/19/2022 1:16:06 PM, Old: 420.00, New: 350.00
Stop Wavelength Changed: 8/19/2022 1:16:06 PM, Old: 400.00, New: 600.00
Zero Mode Changed: 8/19/2022 1:16:08 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:16:08 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:18:23 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 1:18:23 PM, Old: 340.00, New: 200.00
Emission Wavelength Changed: 8/19/2022 1:18:23 PM, Old: 350.00, New: 415.00
Stop Wavelength Changed: 8/19/2022 1:18:23 PM, Old: 600.00, New: 400.00
Zero Mode Changed: 8/19/2022 12:28:38 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:28:38 PM, Old:Reading, New:ON
Emission Wavelength Changed: 8/19/2022 12:29:15 PM, Old: 415.00, New: 420.00
Stop Wavelength Changed: 8/19/2022 12:29:15 PM, Old: 400.00, New: 410.00
Zero Mode Changed: 8/19/2022 12:29:19 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:29:20 PM, Old:Reading, New:ON
Emission Wavelength Changed: 8/19/2022 12:30:25 PM, Old: 420.00, New: 415.00
Stop Wavelength Changed: 8/19/2022 12:30:25 PM, Old: 410.00, New: 405.00
Zero Mode Changed: 8/19/2022 12:30:27 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:30:28 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:32:30 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:32:30 PM, Old: 200.00, New: 340.00
