CdSe sonochem 90min ex360,,CdSe sonochem 90min ex345,,CdSe sonochem 90min ex330,,CdSe sonochem 90min em420,,CdSe sonochem 90min em515,,CdSe sonochem 90min ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
486.0599976,85.57995605,470.8999939,95.15434265,456.0599976,88.82263947,356,146.2137451,376,185.9002533,510.8999939,166.6965942,
486.9599915,83.33039856,471.9599915,92.54590607,456.9599915,87.21451569,357.0700073,145.0276184,377.0700073,188.1181335,511.9599915,170.8377533,
488.0299988,84.39134216,472.8699951,92.27991486,458.0299988,87.17166138,358,141.087677,378,185.1421814,512.8699951,174.6658325,
488.9299927,83.27235413,473.9299927,89.7806015,458.9299927,88.99499512,359.0700073,135.2598114,379.0700073,187.4900665,513.9299927,178.6183929,
490,83.06234741,474.8399963,86.78842163,460,84.01099396,360,133.3998413,380,183.3354797,514.8400269,178.744873,
491.0400085,85.47192383,475.8999939,85.11627197,461.0599976,83.90215302,361.0700073,129.2289581,381.0700073,183.9461212,515.9000244,184.0014648,
491.9400024,86.77842712,476.9599915,85.08443451,461.9599915,80.11659241,362,127.9046631,382,185.7150116,516.960022,183.108429,
492.980011,86.07133484,477.8699951,82.70094299,463.0299988,79.71440887,363.0700073,124.3747101,383.0700073,186.8822632,517.8699951,182.6038055,
494.019989,88.32513428,478.9299927,79.3807373,463.9299927,78.22756195,364,123.0486908,384,187.5790558,518.9299927,183.7449646,
495.0700073,90.33010864,479.8399963,81.754776,465,76.0725174,365.0700073,118.0119934,385.0700073,185.8136139,519.8400269,183.8425903,
495.9700012,91.66101074,480.8999939,78.09883881,466.0599976,74.34814453,366,113.9246674,386,186.377655,520.8900146,180.2847748,
497.0100098,93.3556366,481.9599915,76.07785034,466.9599915,72.95331573,367.0700073,110.2960968,387.0700073,185.2344055,521.9400024,180.2353668,
498.0499878,95.84692383,482.8699951,76.6258316,468.0299988,73.14326477,368,109.703598,388,185.6493225,522.9799805,175.3766937,
498.9500122,100.4111786,483.9299927,74.33639526,468.9299927,69.9389801,369.0700073,105.7215729,389.0700073,185.3172302,523.8800049,175.5492401,
500,104.3985138,484.8399963,75.46854401,470,68.27443695,370,104.9442749,390,186.5447998,524.9199829,171.3699493,
501.0400085,106.6345825,485.8999939,74.57155609,471.0599976,66.5983429,371.0700073,101.2299652,391.0599976,185.2129669,525.9699707,167.8368683,
501.9400024,112.0089417,486.9599915,74.20442963,471.9599915,66.4389801,372,99.00556946,391.9599915,184.2881012,526.8599854,162.5308838,
502.980011,114.5473022,487.8699951,72.71765137,473.0299988,65.9590683,373.0700073,96.3868103,393.0299988,183.5517731,527.9099731,161.2601471,
504.019989,121.2324371,488.9299927,72.52977753,473.9299927,62.72823334,374,92.86824036,393.9299927,184.5104065,528.9500122,157.8801575,
505.0700073,125.7581177,489.8399963,72.1138916,475,62.774086,375.0700073,89.8057251,395,181.911438,529.8499756,152.8478241,
505.9700012,127.701828,490.8900146,73.42298126,476.0599976,60.51702881,376,87.29075623,396.0599976,182.2478943,530.8900146,149.9876709,
507.0100098,136.3118134,491.9400024,73.19851685,476.9599915,58.61354065,377.0700073,83.89477539,396.9599915,182.222702,531.9400024,143.3727417,
508.0499878,137.519043,492.980011,73.78879547,478.0299988,58.09947586,378,81.52301025,398.0299988,180.7238007,532.9799805,139.4777374,
508.9500122,143.3439178,493.8800049,75.84407043,478.9299927,56.88635635,379.0700073,79.20648193,398.9299927,178.9967041,533.8800049,135.3952179,
510,148.5892029,494.9200134,75.30632019,480,55.96767426,380,75.47016907,400,178.7133484,534.9199829,133.0393524,
511.0599976,152.8467255,495.9700012,78.39292145,481.0599976,53.75881195,381.0700073,72.74073792,401.0700073,176.769516,535.9699707,128.3309937,
511.9599915,155.84375,496.8599854,82.5199585,481.9599915,53.37615585,382,70.60940552,402,175.0229034,536.8599854,123.6762924,
