CdSe sonochem 30min em420,,CdSe sonochem 30min ex345,,CdSe sonochem 30min em510,,CdSe sonochem 30min ex380,,CdSe sonochem 30min ex330,,CdSe sonochem 30min ex360,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
,,534.9199829,100.9425888,440,131.9528046,570,78.02470398,520,91.9797287,550,98.00834656,
,,535.9699707,101.1665726,441.0599976,131.5126648,571.0200195,77.03691101,521.039978,90.01004028,551.039978,97.12813568,
,,536.8599854,99.1081543,441.9599915,131.0561981,572.0499878,75.79703522,521.9400024,87.63150787,551.9400024,94.1058197,
,,537.9099731,99.06916809,443.0299988,129.4987183,572.9400024,75.06666565,522.9799805,87.68760681,552.9799805,93.97486877,
,,538.9500122,98.47937012,443.9299927,128.8979492,573.9699707,73.6503067,524.0200195,90.6891098,554.0200195,90.70320129,
,,539.8499756,95.4520874,445,128.6817017,575,71.74044037,525.0700073,88.19174957,555.0700073,90.16273499,
,,540.8800049,94.51997375,446.0599976,127.9353485,576.0200195,70.16967773,525.9699707,86.45300293,555.9699707,88.74755859,
,,541.9099731,94.37091827,446.9599915,126.9960022,577.0499878,69.3266983,527.0100098,85.32698059,557.0100098,88.006073,
,,542.9400024,90.32920074,448.0299988,127.4820404,577.9400024,67.78343201,528.0499878,83.93460846,558.0499878,86.02693176,
,,543.9699707,89.18803406,448.9299927,126.7722473,578.9699707,66.28141022,528.9500122,84.38882446,558.9500122,84.67085266,
,,544.8499756,88.70130157,450,123.6978607,580,65.087883,530,81.5687027,560,82.74384308,
,,545.8800049,88.96867371,451.0599976,123.9900513,581.0200195,64.16482544,531.039978,80.17369843,561.039978,82.27155304,
,,546.9099731,88.65114594,451.9599915,123.7718811,582.0499878,63.47360229,531.9400024,80.04411316,561.9400024,78.60662842,
