CdSe 60 sec ex380,,CdSe 60 sec em520,,CdSe 60 sec ex400,,CdSe 60 sec em445,,CdSe 60 sec ex375,,CdSe 60 sec ex330,,CdSe 60 sec em410,,CdSe 60 sec ex340,,CdSe 60 sec em425,,CdSe 60 sec ex350,,CdSe 60 sec em455,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
458.0299988,26.63180733,338,14.31641388,478.0299988,17.81095886,308,4.960112572,452.8699951,27.41812325,408,20.95681763,308,8.278121948,418.0299988,21.97966957,308,6.221562862,428,24.68901825,308,4.508662224,
458.9299927,26.61432266,339.0700073,15.24448204,478.9299927,17.47132492,309.0700073,4.682499886,453.9299927,26.87896729,409.0700073,20.81450272,309.0700073,9.091327667,418.9299927,22.31921959,309.0700073,6.872499943,429.0700073,22.85856438,309.0700073,4.529531479,
460,26.09434891,340,15.87201691,480,16.74318695,310,5.275673866,454.8399963,28.19966125,410,19.25157547,310,8.987823486,420,23.68811798,310,7.192740917,430,23.08167648,310,4.676754951,
461.0599976,26.60716057,341.0700073,16.75331116,481.0599976,16.04422379,311.0700073,5.478862762,455.8999939,27.12925339,411.0599976,19.95996475,311.0700073,10.12555695,421.0700073,23.21279144,311.0700073,8.170530319,431.0599976,23.28099823,311.0700073,4.906997681,
461.9599915,26.54070473,342,16.35139847,481.9599915,16.97658157,312,5.241342545,456.9599915,27.53919792,411.9599915,20.21346664,312,10.36434174,422,21.41077995,312,8.443357468,431.9599915,23.50714874,312,5.103755951,
463.0299988,26.58571625,343.0700073,16.92111588,483.0299988,16.47661972,313.0700073,5.616718292,457.8699951,27.15967178,413.0299988,20.2722168,313.0700073,10.66850853,423.0700073,21.52099228,313.0700073,9.22650528,433.0299988,24.1440773,313.0700073,6.023675919,
463.9299927,26.08076668,344,16.51212883,483.9299927,16.43033981,314,6.033045769,458.9299927,26.59233475,413.9299927,20.13684464,314,11.09193611,424,22.02424049,314,9.231582642,433.9299927,23.25479698,314,5.427454948,
465,25.92839813,345.0700073,17.70064545,485,15.85235882,315.0700073,6.261333466,459.8399963,26.13812447,415,20.47675705,315.0700073,11.31845093,425.0700073,22.07210541,315.0700073,9.744974136,435,23.91678238,315.0700073,6.291279793,
466.0599976,25.09533119,346,17.83686638,486.0599976,15.74723721,316,7.026589394,460.8999939,26.69955635,416.0599976,20.52516174,316,12.88656044,426,22.44846725,316,10.40174103,436.0599976,23.44952202,316,7.271432877,
466.9599915,25.34942245,347.0700073,17.55264854,486.9599915,15.64305401,317.0700073,6.892625809,461.9599915,26.06339836,416.9599915,19.59140778,317.0700073,13.23942375,427.0700073,21.66571808,317.0700073,11.00238419,436.9599915,23.18784142,317.0700073,7.247355461,
468.0299988,24.31318283,348,19.52445221,488.0299988,15.48038769,318,7.423961639,462.8699951,26.13958359,418.0299988,19.98954391,318,13.08428192,428,23.27231979,318,11.35455894,438.0299988,23.71684837,318,7.856575012,
468.9299927,24.30117035,349.0700073,18.94590759,488.9299927,16.47733307,319.0700073,8.215380669,463.9299927,26.71010971,418.9299927,19.35311127,319.0700073,13.70814514,429.0700073,21.95785713,319.0700073,12.61948776,438.9299927,24.05824089,319.0700073,7.600782394,
470,23.77691269,350,18.94132042,490,16.07997513,320,8.256419182,464.8399963,25.84717751,420,20.11260605,320,14.41806984,430,22.12423134,320,12.98825264,440,23.49095535,320,8.199913025,
471.0599976,24.02968788,351.0700073,20.20141411,491.0400085,16.30752563,320.9299927,9.214439392,465.8999939,25.9170723,421.0700073,19.9569931,320.9299927,15.700634,431.0599976,21.58970642,320.9299927,13.15545273,441.0599976,23.36338615,320.9299927,7.809798241,
471.9599915,23.15475464,352,20.00582504,491.9400024,16.54889297,322.0299988,9.402639389,466.9599915,24.68626022,422,19.52137375,322.0299988,15.79833221,431.9599915,21.66222954,322.0299988,12.75538445,441.9599915,23.20252228,322.0299988,9.829425812,
473.0299988,22.8667984,353.0700073,20.27058029,492.980011,16.5412941,322.9599915,10.21772099,467.8699951,24.60933304,423.0700073,20.03410339,322.9599915,16.56534767,433.0299988,20.49615479,322.9599915,14.86497307,443.0299988,23.4458046,322.9599915,9.783428192,
473.9299927,22.28555489,354,20.69834137,494.019989,17.01229858,324.0599976,10.27433872,468.9299927,24.20411682,424,19.95160294,324.0599976,16.0147953,433.9299927,20.58023262,324.0599976,14.23994446,443.9299927,23.02800179,324.0599976,10.47273159,
475,21.86263275,355.0700073,21.41489601,495.0700073,17.37791443,325,10.96648407,469.8399963,23.04817772,425.0700073,19.40560913,325,17.64946938,435,21.40683556,325,15.0247879,445,23.70291328,325,10.27153587,
476.0599976,22.26435471,356,21.70345879,495.9700012,17.89017868,325.9299927,10.71109772,470.8999939,23.68583488,426,19.10482025,325.9299927,17.93071556,436.0599976,20.54723167,325.9299927,14.73738861,446.0599976,24.10591316,325.9299927,10.07443237,
476.9599915,20.74184036,357.0700073,22.1049633,497.0100098,18.52540588,327.0299988,11.35053825,471.9599915,23.39048386,427.0700073,18.57568359,327.0299988,16.99231339,436.9599915,22.06502724,327.0299988,15.65294838,446.9599915,23.50270653,327.0299988,11.84698677,
478.0299988,20.3083744,358,22.28545952,498.0499878,18.84047699,327.9599915,12.12762165,472.8699951,22.89326096,428,18.67404556,327.9599915,18.34437752,438.0299988,20.6484375,327.9599915,16.55750847,448.0299988,22.56194115,327.9599915,11.87352848,
478.9299927,20.24206161,359.0700073,22.90952682,498.9500122,18.85146332,329.0599976,12.31002998,473.9299927,22.77981758,429.0700073,18.73268509,329.0599976,18.16557121,438.9299927,21.71437263,329.0599976,16.60306358,448.9299927,23.59508324,329.0599976,11.8795681,
480,19.57738876,360,22.06595421,500,20.1834259,330,12.65400219,474.8399963,21.87255669,430,19.12776947,330,18.61124039,440,21.60603142,330,17.57834435,450,24.0195694,330,12.4161396,
481.0599976,19.25156593,361.0700073,22.52063179,501.0400085,21.1309166,331.0700073,13.55058861,475.8999939,21.25559616,431.0599976,17.74116135,331.0700073,19.34297562,441.0599976,20.11563301,331.0700073,18.25075722,451.0599976,23.36385155,331.0700073,13.51137161,
481.9599915,19.51009941,362,23.13273239,501.9400024,21.69722748,332,14.10198593,476.9599915,20.23688316,431.9599915,18.2442894,332,20.59496307,441.9599915,20.99489021,332,18.05714226,451.9599915,23.02752686,332,13.97395706,
483.0299988,18.84247208,363.0700073,23.32416534,502.980011,22.42177963,333.0700073,14.53706551,477.8699951,19.94223213,433.0299988,17.85393524,333.0700073,19.16846466,443.0299988,21.20287704,333.0700073,18.56569862,453.0299988,23.16001892,333.0700073,14.25954056,
483.9299927,19.23240471,364,23.54530525,504.019989,23.91427612,334,15.20625114,478.9299927,19.38402367,433.9299927,17.76400375,334,20.24261284,443.9299927,19.73192978,334,18.92173195,453.9299927,23.96988487,334,15.21254539,
485,18.9233551,365.0700073,24.00108528,505.0700073,24.11736679,335.0700073,15.64320755,479.8399963,19.14420509,435,17.66291809,335.0700073,20.99917984,445,20.69135284,335.0700073,19.03211021,455,23.49372482,335.0700073,14.86542511,
